任务3：东方财富概念资金流入情况
================================================================================

📊 东方财富概念板块资金流入情况
分析日期: 20251203
板块数量: 441

排名     板块代码            板块名称                      主力净流入(万)           超大单(万)          大单(万)           中单(万)           小单(万)          
--------------------------------------------------------------------------------------------------------------------------------------------
1      BK0695.DC       小金属概念                                0.00          0.00          0.00          0.00          0.00
2      BK1057.DC       电子纸概念                                0.00          0.00          0.00          0.00          0.00
3      BK0948.DC       MicroLED                             0.00          0.00          0.00          0.00          0.00
4      BK1065.DC       气溶胶检测                                0.00          0.00          0.00          0.00          0.00
5      BK1142.DC       裸眼3D                                 0.00          0.00          0.00          0.00          0.00
6      BK0889.DC       医疗美容                                 0.00          0.00          0.00          0.00          0.00
7      BK0840.DC       OLED                                 0.00          0.00          0.00          0.00          0.00
8      BK0577.DC       核能核电                                 0.00          0.00          0.00          0.00          0.00
9      BK1023.DC       培育钻石                                 0.00          0.00          0.00          0.00          0.00
10     BK0902.DC       MiniLED                              0.00          0.00          0.00          0.00          0.00
11     BK1175.DC       玻璃基板                                 0.00          0.00          0.00          0.00          0.00
12     BK0817.DC       昨日触板                                 0.00          0.00          0.00          0.00          0.00
13     BK1094.DC       钙钛矿电池                                0.00          0.00          0.00          0.00          0.00
14     BK0578.DC       稀土永磁                                 0.00          0.00          0.00          0.00          0.00
15     BK0906.DC       流感                                   0.00          0.00          0.00          0.00          0.00
16     BK0498.DC       AB股                                  0.00          0.00          0.00          0.00          0.00
17     BK0881.DC       3D玻璃                                 0.00          0.00          0.00          0.00          0.00
18     BK0519.DC       稀缺资源                                 0.00          0.00          0.00          0.00          0.00
19     BK0904.DC       广电                                   0.00          0.00          0.00          0.00          0.00
20     BK1068.DC       净水概念                                 0.00          0.00          0.00          0.00          0.00
21     BK0676.DC       独家药品                                 0.00          0.00          0.00          0.00          0.00
22     BK0818.DC       可燃冰                                  0.00          0.00          0.00          0.00          0.00
23     BK1144.DC       高压快充                                 0.00          0.00          0.00          0.00          0.00
24     BK1073.DC       啤酒概念                                 0.00          0.00          0.00          0.00          0.00
25     BK0938.DC       代糖概念                                 0.00          0.00          0.00          0.00          0.00
26     BK0685.DC       举牌                                   0.00          0.00          0.00          0.00          0.00
27     BK0894.DC       阿兹海默                                 0.00          0.00          0.00          0.00          0.00
28     BK0996.DC       毛发医疗                                 0.00          0.00          0.00          0.00          0.00
29     BK1103.DC       熔盐储能                                 0.00          0.00          0.00          0.00          0.00
30     BK0882.DC       猪肉概念                                 0.00          0.00          0.00          0.00          0.00
31     BK0967.DC       水产养殖                                 0.00          0.00          0.00          0.00          0.00
32     BK0603.DC       页岩气                                  0.00          0.00          0.00          0.00          0.00
33     BK1082.DC       噪声防治                                 0.00          0.00          0.00          0.00          0.00
34     BK0862.DC       超级真菌                                 0.00          0.00          0.00          0.00          0.00
35     BK1628.DC       2025三季报扭亏                            0.00          0.00          0.00          0.00          0.00
36     BK0636.DC       B股                                   0.00          0.00          0.00          0.00          0.00
37     BK0979.DC       低碳冶金                                 0.00          0.00          0.00          0.00          0.00
38     BK1063.DC       重组蛋白                                 0.00          0.00          0.00          0.00          0.00
39     BK1079.DC       户外露营                                 0.00          0.00          0.00          0.00          0.00
40     BK0944.DC       肝素概念                                 0.00          0.00          0.00          0.00          0.00
41     BK0656.DC       智能电视                                 0.00          0.00          0.00          0.00          0.00
42     BK1099.DC       轮毂电机                                 0.00          0.00          0.00          0.00          0.00
43     BK1199.DC       2025三季报预减                            0.00          0.00          0.00          0.00          0.00
44     BK0933.DC       退税商店                                 0.00          0.00          0.00          0.00          0.00
45     BK0606.DC       油气设服                                 0.00          0.00          0.00          0.00          0.00
46     BK0622.DC       地热能                                  0.00          0.00          0.00          0.00          0.00
47     BK0679.DC       超导概念                                 0.00          0.00          0.00          0.00          0.00
48     BK0950.DC       草甘膦                                  0.00          0.00          0.00          0.00          0.00
49     BK0887.DC       鸡肉概念                                 0.00          0.00          0.00          0.00          0.00
50     BK0805.DC       钛白粉                                  0.00          0.00          0.00          0.00          0.00
51     BK1076.DC       建筑节能                                 0.00          0.00          0.00          0.00          0.00
52     BK1098.DC       生物质能发电                               0.00          0.00          0.00          0.00          0.00
