时间,代码,名称,开盘价,收盘价,最高价,最低价,成交量,成交额,涨幅,振幅
2025/12/01 09:45,sz000001,平安银行,11.6,11.55,11.63,11.53,209520,242593664,-0.43,0.86
2025/12/01 10:00,sz000001,平安银行,11.55,11.57,11.58,11.55,95191,110048072,0.17,0.26
2025/12/01 10:15,sz000001,平安银行,11.58,11.63,11.63,11.57,88340,102542560,0.43,0.52
2025/12/01 10:30,sz000001,平安银行,11.63,11.65,11.65,11.61,71024,82622496,0.17,0.34
2025/12/01 10:45,sz000001,平安银行,11.64,11.65,11.66,11.63,73298,85368536,0.09,0.26
2025/12/01 11:00,sz000001,平安银行,11.65,11.63,11.66,11.63,29340,34157316,-0.17,0.26
2025/12/01 11:15,sz000001,平安银行,11.64,11.64,11.65,11.63,32551,37891000,0.0,0.17
2025/12/01 11:30,sz000001,平安银行,11.64,11.62,11.65,11.62,27536,32026206,-0.17,0.26
2025/12/01 13:15,sz000001,平安银行,11.63,11.59,11.63,11.59,34984,40599488,-0.34,0.34
2025/12/01 13:30,sz000001,平安银行,11.59,11.59,11.61,11.59,29875,34651996,0.0,0.17
2025/12/01 13:45,sz000001,平安银行,11.59,11.61,11.61,11.58,26381,30587572,0.17,0.26
2025/12/01 14:00,sz000001,平安银行,11.6,11.63,11.63,11.6,30394,35304232,0.26,0.26
2025/12/01 14:15,sz000001,平安银行,11.63,11.63,11.65,11.62,39846,46356376,0.0,0.26
2025/12/01 14:30,sz000001,平安银行,11.62,11.67,11.68,11.62,93479,108946144,0.43,0.52
2025/12/01 14:45,sz000001,平安银行,11.67,11.68,11.7,11.67,81950,95750072,0.09,0.26
2025/12/01 15:00,sz000001,平安银行,11.67,11.69,11.7,11.67,73614,86034576,0.17,0.26
